id,title,description
,Karaoke night,Embarrass yourselves at a karaoke night
,Oldest pub,Take the team to the oldest (operating) pub in town and sample some of their menu.
,Museum visit,Go to a museum! The museum should be somehow linked to the client’s line of business
,New lunch,Lunch with the entire team. Pick a restaurant nobody in the team has been to before.
,Customer visit,"Visit to the customer's core business work floor. This can be the factory, studio, shop, ..."
,English breakfast,Breakfast with the entire team at the best place in town for a hearty English breakfast
,Healthy breakfast,Breakfast with the entire team at the best place in town for a über healthy breakfast
,Vegan lunch,Lunch with the entire team in the best vegan restaurant in town.
,Wine tasting,Wine tasting with the entire team.
,Escape room,Escape room with the entire team.
,Pub quiz,Pub quiz with the entire team
,Cooking,Cook a delicious meal together
,Picnic,Go out into the fields and spread a blanket and some delicious food.
,Hike,Go hiking with the team
,,
,,
,,
